"";"nrow1";"nrow2";"size1";"size2";"lv_schema";"cos_schema";"lv_tab";"cos_tab";"col1";"col2";"dist_nrow";"dist_lastused";"dist_size";"decisao"
"149";0;5571;1024;4608;5;0,469669914110089;8;0,611077765868701;20420;38073;3939,29187799026;89856000;2534,27070377259;0
"150";18441942;5571;1948160;4608;7;0,841886116991581;17;0,433647886045146;2435;38073;13036482,954571;6480000;1374298,79878868;0
"151";0;5571;2048;4608;9;0,432225026042331;24;0,757464374963667;8310;38073;3939,29187799026;172800;1810,19335983756;0
"152";143;5571;1024;4608;9;0,432225026042331;7;0,571253537143728;2097;38073;3838,17560828058;3801600;2534,27070377259;0
"153";5;5571;2048;4608;7;0,683772233983162;10;0,429218207014607;12710;38073;3935,75634408432;172800;1810,19335983756;0
"154";3;5571;2048;4608;7;0,841886116991581;13;0,704459768355476;1589;38073;3937,1705576467;4752000;1810,19335983756;0
"155";317367;5571;32768;4608;7;0,841886116991581;10;0,586329848003985;10074;38073;220473,065946841;0;19912,1269582132;0
"156";1;5571;1024;4608;7;0,683772233983162;11;0,358311052080252;30438;38073;3938,58477120907;172800;2534,27070377259;0
"157";217236;5571;11776;4608;10;0,722649901887385;16;0,657002829714982;7602;38073;149669,756839851;172800;5068,54140754517;0
"158";0;5571;2048;4608;7;0,841886116991581;10;0,358311052080252;853;38073;3939,29187799026;6480000;1810,19335983756;0
"159";0;5571;2048;4608;9;0,432225026042331;22;0,699376761459128;9891;38073;3939,29187799026;172800;1810,19335983756;0
"160";0;5571;2048;4608;9;0,432225026042331;15;0,43396068985822;13518;38073;3939,29187799026;3801600;1810,19335983756;0
"161";0;5571;2048;4608;9;0,432225026042331;14;0,638449236968906;18942;38073;3939,29187799026;3801600;1810,19335983756;0
"162";0;5571;1024;4608;7;0,552786404500042;16;0,691302546743484;34177;38073;3939,29187799026;22204800;2534,27070377259;0
"163";0;5571;2048;4608;9;0,432225026042331;16;0,566139084362688;6158;38073;3939,29187799026;3801600;1810,19335983756;0
"164";14;5571;2048;4608;8;0,795875854768069;10;0,638038617003487;429;38073;3929,39238305364;0;1810,19335983756;0
"165";7;5571;512;4608;8;0,795875854768069;12;0,322165610595435;43;38073;3934,34213052195;11145600;2896,3093757401;0
"166";0;5571;2048;4608;9;0,432225026042331;13;0,467051959900988;6774;38073;3939,29187799026;3801600;1810,19335983756;0
"167";401259;5571;68096;4608;6;0,552786404500042;18;0,663183465145696;7356;38073;279793,668034143;0;44892,7953239715;0
"168";40336190;5571;3288064;4608;7;0,841886116991581;11;0,334087908183708;1254;38073;28518054,184351;1987200;2321754,00332766;0
"169";8200;5571;2048;4608;7;0,841886116991581;12;0,449980901783073;2740;38073;1858,98372773943;11145600;1810,19335983756;0
"170";8001;5571;1792;4608;8;0,558058261758408;15;0,409832893476525;34356;38073;1718,26947828331;172800;1991,21269582132;0
"171";0;5571;2048;4608;9;0,432225026042331;13;0,44178344401977;4242;38073;3939,29187799026;950400;1810,19335983756;0
"172";0;5571;2048;4608;9;0,432225026042331;20;0,654595802497958;4896;38073;3939,29187799026;0;1810,19335983756;0
"173";0;5571;2048;4608;7;0,841886116991581;15;0,401215049147904;10978;38073;3939,29187799026;11145600;1810,19335983756;0
"174";4553362;5571;2140160;4608;6;0,552786404500042;9;0,757464374963667;84767;38073;3215773,85551915;1382400;1510063,30077649;0
"175";0;5571;1024;4608;7;0,552786404500042;11;0,443706088833409;13190;38073;3939,29187799026;22204800;2534,27070377259;0
"176";8;5571;2048;4608;9;0,432225026042331;10;0,682446325585022;20653;38073;3933,63502374076;172800;1810,19335983756;0
"177";12;5571;2048;4608;9;0,432225026042331;10;0,554868092740274;2843;38073;3930,80659661602;172800;1810,19335983756;0
"178";4;5571;2048;4608;7;0,841886116991581;12;0,242420388312545;581;38073;3936,46345086551;0;1810,19335983756;0
"179";267317;5571;49152;4608;9;0,680198925466584;14;0,467051959900988;50;38073;185082,371548454;51148800;31497,3644611736;0
"180";2281;5571;1536;4608;8;0,558058261758408;7;0,371171854477468;43912;38073;2326,38131010374;172800;2172,23203180507;0
"181";8;5571;2048;4608;7;0,683772233983162;16;0,73596065520622;7505;38073;3933,63502374076;172800;1810,19335983756;0
"182";2366066;5571;247296;4608;7;0,841886116991581;16;0,369873962187396;1290;38073;1669122,02145694;0;171606,330512601;0
"183";1902;5571;2560;4608;7;0,683772233983162;16;0,382605093486968;24269;38073;2594,37478017344;172800;1448,15468787005;0
"184";39975;5571;3584;4608;7;0,683772233983162;8;0,49902056713188;31705;38073;24327,301699942;172800;724,077343935025;0
"185";807158;5571;68096;4608;7;0,841886116991581;12;0,499226604332809;3105;38073;566807,603410981;0;44892,7953239715;0
"186";219;5571;2048;4608;7;0,683772233983162;11;0,557192557229952;16055;38073;3784,4354929104;9331200;1810,19335983756;0
"187";0;5571;1024;4608;5;0,469669914110089;10;0,443706088833409;5095;38073;3939,29187799026;89856000;2534,27070377259;0
"188";3764445;5571;315904;4608;7;0,841886116991581;10;0,629520713182526;2385;38073;2657925,2950258;86400;220119,512556248;0
"189";16;5571;2048;4608;9;0,432225026042331;17;0,358311052080252;2787;38073;3927,97816949127;172800;1810,19335983756;0
