"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"736";42;6;43;9;1,466552734;0,016802619;8037560;6141;385;71;512;0,0889994470252274;0,208333333333333;516;0,084997111518426;0,208333333333333;0;736
"743";42;0;43;9;1,466552734;0,007202148;8037560;29129;385;46;495;0,0919687858511492;0,291666666666667;500;0,0940923966182461;0,291666666666667;0;743
"753";42;0;43;17;1,466552734;0;8037560;371368;385;185;464;0,0662275961930957;0,166666666666667;469;0,0646268200155157;0,166666666666667;0;753
"756";42;43;43;218;1,466552734;82,92541504;8037560;555415048;385;2898;3489;0,0283396212045055;0,111111111111111;3495;0,026962003000335;0,111111111111111;0;756
"759";67;1;70;5;0,798095703;110,0444336;3218891;324500732;397;257;1122;0,26192425198429;0,375;1125;0,224661724747456;0,333333333333333;0;759
"764";67;3;70;4;0,798095703;0,091308594;3218891;1508484;397;12;1108;0,182558253131015;0,375;1117;0,16065465396724;0,291666666666667;0;764
"765";67;42;70;43;0,798095703;1,466552734;3218891;8037560;397;385;838;0,0216843564322868;0,08;842;0,0213449674063495;0,08;0;765
"785";67;0;70;19;0,798095703;0,033203125;3218891;1124;397;153;983;0,0319812913168636;0,166666666666667;990;0,0316319635132097;0,166666666666667;0;785
"786";67;4;70;33;0,798095703;3,3203125;3218891;7064804;397;227;849;0,0505621830905256;0,12;859;0,0510086864712951;0,12;0;786
"792";67;20;70;65;0,798095703;8,503417969;3218891;41627253;397;650;879;0,0182233463389512;0,04;884;0,0184266365289241;0,04;1;792
"806";67;20;70;26;0,798095703;3,305664063;3218891;19463669;397;180;909;0,0367132834731283;0,0416666666666666;914;0,03421599641587;0,0416666666666666;0;806
"807";67;203;70;451;0,798095703;3229,061768;3218891;12469817823;397;4621;7399;0,0138539332296139;0,111111111111111;7395;0,0135898551136798;0,111111111111111;1;807
"814";67;0;70;1;0,798095703;0,000976563;3218891;0;397;5;1157;0,251141496568119;0,583333333333333;1163;0,216492019490395;0,375;0;814
"818";67;0;70;1;0,798095703;0,001464844;3218891;16910;397;2;1160;0,363559374220322;0,666666666666667;1169;0,323121099263222;0,541666666666667;0;818
"832";67;2;70;7;0,798095703;0,011474609;3218891;62646;397;108;1086;0,0756358581493292;0,25;1092;0,0732192269450022;0,25;0;832
"837";67;0;70;17;0,798095703;0;3218891;371368;397;185;1000;0,0478001540867961;0,166666666666667;1008;0,0452285760677763;0,166666666666667;0;837
"841";131;1;137;7;36,85131836;36,53808594;158644947;178861265;957;49;2512;0,179089727694221;0,2;2518;0,132110180108568;0,2;0;841
"846";131;0;137;3;36,85131836;0,005859375;158644947;0;957;234;2554;0,129022179944981;0,44;2563;0,079395007456547;0,384615384615385;0;846
"847";131;21;137;23;36,85131836;25,47961426;158644947;191401724;957;266;2331;0,0583275496239285;0,192307692307692;2333;0,0532427879483951;0,192307692307692;0;847
"849";131;42;137;43;36,85131836;1,466552734;158644947;8037560;957;385;2122;0,0405946096372876;0,115384615384615;2129;0,0403284974926544;0,115384615384615;0;849
"850";131;67;137;70;36,85131836;0,798095703;158644947;3218891;957;397;1419;0,0106444050314822;0,04;1422;0,0108156472456793;0,04;1;850
"858";131;0;137;20;36,85131836;0,01953125;158644947;400;957;107;2348;0,047936437600607;0,12;2355;0,0436108709488578;0,12;0;858
"864";131;0;137;8;36,85131836;0,0078125;158644947;0;957;37;2468;0,142997002773967;0,28;2476;0,157463085071864;0,24;0;864
"867";131;0;137;15;36,85131836;1,53515625;158644947;13208944;957;254;2352;0,0372575523295479;0,08;2363;0,0376053302771714;0,08;0;867
"872";131;2;137;33;36,85131836;0,077636719;158644947;101813;957;264;2206;0,0649895454378927;0,04;2218;0,0649423282088656;0;0;872
"874";131;30;137;30;36,85131836;0,030273438;158644947;49;957;198;2200;0,0286829265706496;0,115384615384615;2211;0,0284133605694056;0,115384615384615;0;874
"880";131;10;137;10;36,85131836;1,998046875;158644947;5758248;957;76;2442;0,082797742545669;0,24;2451;0,0851250260075233;0,24;0;880
