"";"acesso1";"acesso2";"qtdtabelas1";"qtdtabelas2";"tamgb1";"tamgb2";"qtdlinhas1";"qtdlinhas2";"qtdcolunas1";"qtdcolunas2";"lv_tabelas";"cos_tabelas";"jac_tabelas";"lv_schtab";"cos_schtab";"jac_schtab";"decisao";"id_schema"
"588";21;43;23;218;25,47961426;82,92541504;191401724;555415048;266;2898;3723;0,0692126687659242;0,185185185185185;3720;0,0652153003834427;0,185185185185185;0;588
"590";3;37;4;37;0,091308594;0,096191406;1508484;267565;12;225;524;0,190423871200621;0,318181818181818;528;0,169024138038545;0,227272727272727;0;590
"591";3;1;4;5;0,091308594;110,0444336;1508484;324500732;12;257;52;0,321432824347089;0,421052631578947;59;0,260635712837357;0,35;0;591
"592";3;115;4;116;0,091308594;32,54589844;1508484;94950263;12;1550;1707;0,203431495552301;0,444444444444444;1706;0,177625539793979;0,37037037037037;0;592
"593";3;6;4;7;0,091308594;108,1806641;1508484;183421331;12;346;65;0,182461024424141;0,380952380952381;71;0,17219888156091;0,285714285714286;0;593
"596";3;42;4;43;0,091308594;1,466552734;1508484;8037560;12;385;543;0,162134443879816;0,375;547;0,148354618902477;0,291666666666667;0;596
"599";3;182;4;1;0,091308594;1,797607422;1508484;7556996;12;1435;60;0,824398514376122;0,833333333333333;62;0,474589362471439;0,55;0;599
"601";3;21;4;23;0,091308594;0,0859375;1508484;111;12;125;259;0,223803003145215;0,391304347826087;265;0,199035230068561;0,304347826086957;0;601
"612";3;0;4;8;0,091308594;0,0078125;1508484;0;12;37;95;0,288686877706758;0,428571428571429;102;0,280832161764185;0,285714285714286;0;612
"623";3;0;4;4;0,091308594;0,017578125;1508484;0;12;35;52;0,37435049039538;0,55;56;0,337332998180493;0,3;0;623
"625";3;21;4;22;0,091308594;0,544921875;1508484;1976882;12;182;302;0,234815583619697;0,347826086956522;306;0,217725822947396;0,260869565217391;0;625
"630";3;17;4;17;0,091308594;173,2897949;1508484;901232511;12;423;205;0,16423581076352;0,391304347826087;214;0,140127737975443;0,37037037037037;0;630
"631";3;1;4;18;0,091308594;0,004394531;1508484;379731;12;199;169;0,228583472980522;0,25;175;0,191803623255919;0,15;0;631
"633";3;97;4;99;0,091308594;0,277832031;1508484;1068597;12;690;1703;0,239734990475182;0,4;1710;0,216757090504367;0,32;0;633
"634";3;25;4;86;0,091308594;0,37109375;1508484;4698;12;497;1593;0,215306582608971;0,375;1593;0,190341711243673;0,291666666666667;0;634
"636";3;0;4;1;0,091308594;7,303710938;1508484;0;12;81;56;0,428862750829174;0,666666666666667;58;0,398927852618216;0,5;0;636
"637";3;0;4;3;0,091308594;70,88671875;1508484;128962977;12;234;46;0,226258563027504;0,388888888888889;49;0,198693942800448;0,3;0;637
